NOMBRE_ENCUESTA,PREGUNTA,RESPUESTAS_POSIBLES,RESPUESTA_CORRECTA,PAIS,RESPUESTA_PAIS
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Vietnam                     ,c
Encuesta de creatividad,La innovación de producto más importante debe ser,a.Nuevo invento,a.Nuevo invento,Samoa Occidental            ,c
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Syria                       ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Tanzania                    ,b
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Tailandia                   ,d
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Togo                        ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Tongo                       ,d
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Trinidad y Tobago           ,b
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Tunisia                     ,d
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Turquia                     ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Tuvalu                      ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Uganda                      ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Rusia                       ,b
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Emiratos Arabes Unidos      ,c
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Uganda                      ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Rusia                       ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Reino Unido                 ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Estados Unidos              ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Alto Volta                  ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Uruguay                     ,b
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Vanuatu                     ,c
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Venezuela                   ,c
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Vietnam                     ,c
Encuesta de creatividad,La innovación de producto más importante debe ser,b.invento modificado,a.Nuevo invento,Samoa Occidental            ,c
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Syria                       ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Tanzania                    ,b
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Tailandia                   ,d
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Togo                        ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Tongo                       ,d
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Trinidad y Tobago           ,b
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Tunisia                     ,d
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Turquia                     ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Tuvalu                      ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Uganda                      ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Rusia                       ,b
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Emiratos Arabes Unidos      ,c
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Uganda                      ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Rusia                       ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Reino Unido                 ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Estados Unidos              ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Alto Volta                  ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Uruguay                     ,b
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Vanuatu                     ,c
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Venezuela                   ,c
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Vietnam                     ,c
Encuesta de creatividad,La innovación de producto más importante debe ser,c.Inovacion sobre invento existente,a.Nuevo invento,Samoa Occidental            ,c
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Syria                       ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Tanzania                    ,b
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Tailandia                   ,d
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Togo                        ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Tongo                       ,d
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Trinidad y Tobago           ,b
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Tunisia                     ,d
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Turquia                     ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Tuvalu                      ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Uganda                      ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Rusia                       ,b
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Emiratos Arabes Unidos      ,c
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Uganda                      ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Rusia                       ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Reino Unido                 ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Estados Unidos              ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Alto Volta                  ,a
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Uruguay                     ,b
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Vanuatu                     ,c
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Venezuela                   ,c
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Vietnam                     ,c
Encuesta de creatividad,La innovación de producto más importante debe ser,d.Inovacion,a.Nuevo invento,Samoa Occidental            ,c
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Syria                       ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Tanzania                    ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Tailandia                   ,d
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Togo                        ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Tongo                       ,d
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Trinidad y Tobago           ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Tunisia                     ,d
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Turquia                     ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Tuvalu                      ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Uganda                      ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Rusia                       ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Emiratos Arabes Unidos      ,c
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Uganda                      ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Rusia                       ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Reino Unido                 ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Estados Unidos              ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Alto Volta                  ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Uruguay                     ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Vanuatu                     ,c
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Venezuela                   ,c
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Vietnam                     ,c
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,a.Usted,a.Usted,Samoa Occidental            ,c
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Syria                       ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Tanzania                    ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Tailandia                   ,d
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Togo                        ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Tongo                       ,d
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Trinidad y Tobago           ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Tunisia                     ,d
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Turquia                     ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Tuvalu                      ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Uganda                      ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Rusia                       ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Emiratos Arabes Unidos      ,c
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Uganda                      ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Rusia                       ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Reino Unido                 ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Estados Unidos              ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Alto Volta                  ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Uruguay                     ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Vanuatu                     ,c
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Venezuela                   ,c
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Vietnam                     ,c
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,b.Unviersidad,a.Usted,Samoa Occidental            ,c
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Syria                       ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Tanzania                    ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Tailandia                   ,d
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Togo                        ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Tongo                       ,d
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Trinidad y Tobago           ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Tunisia                     ,d
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Turquia                     ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Tuvalu                      ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Uganda                      ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Rusia                       ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Emiratos Arabes Unidos      ,c
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Uganda                      ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Rusia                       ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Reino Unido                 ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Estados Unidos              ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Alto Volta                  ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Uruguay                     ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Vanuatu                     ,c
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Venezuela                   ,c
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Vietnam                     ,c
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,C.Empresa,a.Usted,Samoa Occidental            ,c
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Syria                       ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Tanzania                    ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Tailandia                   ,d
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Togo                        ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Tongo                       ,d
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Trinidad y Tobago           ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Tunisia                     ,d
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Turquia                     ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Tuvalu                      ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Uganda                      ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Rusia                       ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Emiratos Arabes Unidos      ,c
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Uganda                      ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Rusia                       ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Reino Unido                 ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Estados Unidos              ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Alto Volta                  ,a
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Uruguay                     ,b
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Vanuatu                     ,c
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Venezuela                   ,c
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Vietnam                     ,c
Encuesta de creatividad,¿Quién ha desarrollado esos inventos? ,d. Cooperacion extranjera,a.Usted,Samoa Occidental            ,c
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Syria                       ,b
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Tanzania                    ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Tailandia                   ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Togo                        ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Tongo                       ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Trinidad y Tobago           ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Tunisia                     ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Turquia                     ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Tuvalu                      ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Uganda                      ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Rusia                       ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Emiratos Arabes Unidos      ,b
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Uganda                      ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Rusia                       ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Reino Unido                 ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Estados Unidos              ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Alto Volta                  ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Uruguay                     ,b
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Vanuatu                     ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Venezuela                   ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Vietnam                     ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,a.Si,a.Si,Samoa Occidental            ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,b.No,a.Si,Syria                       ,b
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,b.No,a.Si,Tanzania                    ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,b.No,a.Si,Tailandia                   ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,b.No,a.Si,Togo                        ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,b.No,a.Si,Tongo                       ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,b.No,a.Si,Trinidad y Tobago           ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,b.No,a.Si,Tunisia                     ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,b.No,a.Si,Turquia                     ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,b.No,a.Si,Tuvalu                      ,a
Encuesta de creatividad,Durante el periodo 2001-2003 ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que  finalmente fueron abandonadas?,b.No,a.Si,Uganda                      ,a
